Accession	Protein_name	Database
IPI00850570.1	Similar to Casein kinase 2, alpha 1 polypeptide	International Protein Index (IPI)
IPI00226384.2	Retinoblastoma binding protein 5	International Protein Index (IPI)
IPI00649645.1	Peroxiredoxin 1	International Protein Index (IPI)
IPI00473603.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00938530.1	Smooth muscle myosin heavy chain 11 isoform 1	International Protein Index (IPI)
IPI00761592.1	109 kDa protein	International Protein Index (IPI)
IPI00648089.1	Immunity-related GTPase family M member 1	International Protein Index (IPI)
IPI00754518.1	SET translocation	International Protein Index (IPI)
IPI00919260.1	7 kDa protein	International Protein Index (IPI)
IPI00882041.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00461292.4	Similar to Ribosomal protein L17 isoform 2	International Protein Index (IPI)
IPI00310109.2	Lysosomal membrane glycoprotein 2 isoform 2	International Protein Index (IPI)
IPI00122562.3	Similar to zeta proteasome chain; PSMA5 isoform 2	International Protein Index (IPI)
IPI00850934.1	Similar to ribosomal protein S7	International Protein Index (IPI)
IPI00652436.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00653274.1	Brain cDNA, clone MNCb-1272, similar to Mus musculus chaperonin subunit 2 (beta) (Cct2), mRNA	International Protein Index (IPI)
IPI00849863.1	Similar to Eukaryotic translation initiation factor 3, subunit 8	International Protein Index (IPI)
IPI00850188.1	Similar to ribosomal protein S25 isoform 1	International Protein Index (IPI)
IPI00881455.3	11 kDa protein	International Protein Index (IPI)
IPI00831048.1	13 kDa protein	International Protein Index (IPI)
IPI00648920.2	60S ribosomal protein L27	International Protein Index (IPI)
IPI00110641.1	HAI-2 related small protein	International Protein Index (IPI)
IPI00462232.3	Similar to MYL6 protein	International Protein Index (IPI)
IPI00461419.2	Similar to hCG1640785	International Protein Index (IPI)
IPI00849782.1	Similar to HL23 ribosomal protein	International Protein Index (IPI)
IPI00648014.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00316623	Isoform 3 of Catenin delta-1	International Protein Index (IPI)
IPI00750843.1	SEC23B	International Protein Index (IPI)
IPI00474253.1	Capza1 protein (Fragment)	International Protein Index (IPI)
IPI00648723.1	12 kDa protein	International Protein Index (IPI)
IPI00875457.1	147 kDa protein	International Protein Index (IPI)
IPI00880977.1	Protein	International Protein Index (IPI)
IPI00882008.1	Transferrin receptor, isoform CRA_c	International Protein Index (IPI)
IPI00885454.1	7 kDa protein	International Protein Index (IPI)
IPI00849028.1	Similar to lysyl-tRNA synthetase	International Protein Index (IPI)
IPI00856199.1	5 kDa protein	International Protein Index (IPI)
IPI00403987.2	Tropomyosin 1, alpha isoform 5	International Protein Index (IPI)
IPI00753627.1	19 kDa protein	International Protein Index (IPI)
IPI00776286.3	Structure specific recognition protein 1	International Protein Index (IPI)
IPI00457534.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00652367.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00761417.1	Nucleolar and coiled-body phosphoprotein 1 isoform B	International Protein Index (IPI)
IPI00857970.1	19 kDa protein	International Protein Index (IPI)
IPI00649726.1	Aspartate-beta-hydroxylase	International Protein Index (IPI)
IPI00881389.1	9 kDa protein	International Protein Index (IPI)
IPI00885991.1	4 kDa protein	International Protein Index (IPI)
IPI00330624.2	Nucleoporin 153	International Protein Index (IPI)
IPI00831115.3	16 kDa protein	International Protein Index (IPI)
IPI00776388.1	21 kDa protein	International Protein Index (IPI)
IPI00225244.1	Tumor suppressor candidate 3	International Protein Index (IPI)
IPI00831369.1	MKIAA4049 protein	International Protein Index (IPI)
IPI00405405.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00387502.2	Proteasome 26S non-ATPase subunit 10 isoform 1	International Protein Index (IPI)
IPI00651871.2	99 kDa protein	International Protein Index (IPI)
BASP_HUMAN	Brain acid soluble protein 1	UniprotKB
TBA1_HUMAN	Tubulin alpha-1 chain	UniprotKB
SPFH2_HUMAN	SPFH domain-containing protein 2	UniprotKB
UQCR2_HUMAN	Ubiquinol-cytochrome-c reductase complex core protein 2	UniprotKB
UQCR1_HUMAN	Ubiquinol-cytochrome-c reductase complex core protein 1	UniprotKB
HB2G_HUMAN	HLA class II histocompatibility antigen, DW2.2/DR2.2 beta chain	UniprotKB
UBE1_HUMAN	Ubiquitin-activating enzyme E1	UniprotKB
SPTA2_HUMAN	Spectrin alpha chain	UniprotKB
CFP1_HUMAN	Cyclin fold protein 1	UniprotKB
MLRM_HUMAN	Myosin regulatory light chain 2, nonsarcomeric	UniprotKB
PAG1_HUMAN	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1	UniprotKB
LAP4_HUMAN	Protein LAP4	UniprotKB
EFR3_HUMAN	Protein EFR3-like	UniprotKB
2DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain	UniprotKB
TBB2C_HUMAN	Tubulin beta-2C chain	UniprotKB
PFH1_HUMAN	SPFH domain-containing protein 1	UniprotKB
H48_HUMAN	Histone H4 type VIII	UniprotKB
CK059_HUMAN	C11orf59	UniprotKB
IPI00478896.3	60S Ribosomal protein L7a	International Protein Index (IPI)
IPI00894365.2	Actin, beta	International Protein Index (IPI)
IPI00553169.5	Filamin A	International Protein Index (IPI)
IPI00945610.1	Filamin B	International Protein Index (IPI)
IPI00453473.6	Histone H4	International Protein Index (IPI)
IPI00643788.1	Ly6/PLAUR domain containing protein 3	International Protein Index (IPI)
IPI00298690.2	Mesothelin	International Protein Index (IPI)
IPI00909762.1	Tubulin, alpha 1a	International Protein Index (IPI)
IPI00789823.1	Ubiquitin C	International Protein Index (IPI)
IPI00552689.1	Vimentin	International Protein Index (IPI)
IPI00623553	ATP synthase D chain, mitochondrial	International Protein Index (IPI)
IPI00110658	Hemoglobin, beta adult major chain	International Protein Index (IPI)
IPI00115522	Fibrinogen, alpha polypeptide	International Protein Index (IPI)
IPI00315480	Sftpa1, surfactant associated protein A	International Protein Index (IPI)
IPI00126208	Hbb-b1, hemoglobin, beta adult major chain	International Protein Index (IPI)
IPI00116154	Cytochrome c oxidase, subunit Vb	International Protein Index (IPI)
IPI00466422	Atp8a1	International Protein Index (IPI)
IPI00679092	Similar to spectrin alpha 1	International Protein Index (IPI)
IPI00131376	Spectrin beta 1	International Protein Index (IPI)
IPI00134344	Spectrin beta 3	International Protein Index (IPI)
IPI00270149	BetaIV-spectrin sigma1	International Protein Index (IPI)
IPI00134476	Carbonic anhydrase 4 precursor	International Protein Index (IPI)
IPI00474756	Tpm1 29 kDa protein	International Protein Index (IPI)
IPI00653921	Radixilin	International Protein Index (IPI)
IPI00378438	Tensin 1	International Protein Index (IPI)
IPI00753407	Similar to heat shock protein 8	International Protein Index (IPI)
IPI00109044	Myosin light chain, regulatory B-like	International Protein Index (IPI)
IPI00467841	Calmodulin 1	International Protein Index (IPI)
IPI00755344	Similar to nonmuscle myosin heavy chain	International Protein Index (IPI)
IPI00464313	Myh11 protein	International Protein Index (IPI)
IPI00757790	Cingulin	International Protein Index (IPI)
IPI00474554	MfAP4	International Protein Index (IPI)
IPI00338785	Laminin B1 subunit 1	International Protein Index (IPI)
IPI00553798	AHNAK nucleoprotein isoform 1	International Protein Index (IPI)
IPI00753139	AHNAK	International Protein Index (IPI)
IPI00229542	Histone protein Hist1h2aa	International Protein Index (IPI)
149066032	Myosin, heavy polypeptide 9, non-muscle	NCBI
7329158	Vacuolar proton-translocating ATPase 100 kDa subunit isoform a3	NCBI
123298587	Actin, gamma, cytoplasmic	NCBI
122889316	Myosin IC	NCBI
149038022	RCG51062, isoform CRA_b	NCBI
148691289	Tubulin, beta 5	NCBI
149029718	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide, isoform CRA_a	NCBI
12835861	Flotillin 2 isoform 1	NCBI
114326474	Solute carrier family 1 (neutral amino acid transporter), member 5	NCBI
74220199	BiP	NCBI
149053067	Eukaryotic translation initiation factor 4A1, isoform CRA_a	NCBI
149023059	Synaptosomal-associated protein 23	NCBI
148684042	MCG8461, isoform CRA_c	NCBI
423368	ADP,ATP carrier protein T2	NCBI
148709973	SPFH domain family, member 1, isoform CRA_b	NCBI
149257623	PREDICTED: similar to Glyceraldehyde-3-phosphate dehydrogenase	NCBI
16876540	NADPH oxidase beta subunit gp91phox	NCBI
74177935	Dolichyl-di-phosphooligosaccharide-protein glycotransferase	NCBI
148695326	MCG127176	NCBI
74147335	Heat shock protein 1, alpha	NCBI
829023	Cytochrome oxidase subunit II	NCBI
149274983	Ribosomal protein L6	NCBI
148667766	NADH dehydrogenase (ubiquinone) Fe-S protein 1, isoform CRA_b	NCBI
148698145	Sphingomyelin phosphodiesterase, acid-like 3B	NCBI
148677504	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, isoform CRA_h	NCBI
148670589	RAB5C, member RAS oncogene family, isoform CRA_b	NCBI
148700770	MCG16555	NCBI
71037403	Myosin light chain, regulatory B-like	NCBI
31542816	Proto-oncogene tyrosine-protein kinase Fgr	NCBI
148709523	MCG55704	NCBI
148676868	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide, isoform CRA_b	NCBI
149051994	ATPase, H transporting, lysosomal V0 subunit c, isoform CRA_c	NCBI
94386298	Rpl7a protein	NCBI
148666539	Inner membrane protein, mitochondrial, isoform CRA_b	NCBI
26325114	Nucleolin, isoform CRA_e	NCBI
148704781	Proteasome (prosome, macropain) subunit, alpha type 6, isoform CRA_b	NCBI
149022594	NADH dehydrogenase (ubiquinone) Fe-S protein 3 (predicted), isoform CRA_b	NCBI
149250154	Ribosomal protein S8	NCBI
148676697	RAB14, member RAS oncogene family, isoform CRA_a	NCBI
74141836	Tropomodulin 2, isoform CRA_d	NCBI
149021113	Vimentin, isoform CRA_a	NCBI
148706373	MCG9061, isoform CRA_a	NCBI
149054973	Similar to chromosome 17 open reading frame 27 (predicted)	NCBI
60359906	ATPase, H+ transporting, lysosomal accessory protein 1	NCBI
109509007	PREDICTED: similar to Zinc finger protein 469	NCBI
149054060	RCG33987, isoform CRA_d	NCBI
37231712	Proteasome (prosome, macropain) subunit, beta type 1	NCBI
38051991	Proteasome (prosome, macropain) subunit, alpha type 2	NCBI
149029878	Filamin, alpha (predicted), isoform CRA_b	NCBI
149019083	RCG25445, isoform CRA_e	NCBI
74150815	Alanyl (membrane) aminopeptidase	NCBI
148675452	MCG23072, isoform CRA_a	NCBI
15919908	Proliferating cell nuclear antigen	NCBI
149258501	PREDICTED: similar to Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3	NCBI
94383720	PREDICTED: Nedd4 binding protein 1 isoform 1	NCBI
149273155	Env polyprotein	NCBI
149018742	Similar to mKIAA0259 protein (predicted)	NCBI
148676884	MCG54777	NCBI
148699227	Myeloid-associated differentiation marker, isoform CRA_b	NCBI
149269674	MCG6272	NCBI
32527715	Ac2-048	NCBI
149045716	Valosin-containing protein, isoform CRA_a	NCBI
149043621	RCG61012	NCBI
148704620	Proteasome (prosome, macropain) subunit, alpha type 3, isoform CRA_e	NCBI
148675553	MCG120277	NCBI
148689456	Cytoskeleton-associated protein 4	NCBI
149044998	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D (predicted), isoform CRA_a	NCBI
109463549	AHNAK nucleoprotein isoform 1	NCBI
149031271	RCG41931	NCBI
148689105	MCG116019, isoform CRA_b	NCBI
149067921	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1, isoform CRA_c	NCBI
149037387	Vesicle-associated membrane protein, associated protein a, isoform CRA_a	NCBI
149258401	PREDICTED: hypothetical protein	NCBI
149249466	Eno1 protein	NCBI
62006154	Myosin IIIB2	NCBI
109500611	RCG56894	NCBI
109481135	PREDICTED: similar to Plexin-B2 precursor (MM1)	NCBI
149264368	PREDICTED: hypothetical protein LOC218333 isoform 1	NCBI
149048365	RCG62803	NCBI
148691080	Mohawk	NCBI
149049972	RCG37059, isoform CRA_a	NCBI
149051156	Ets variant gene 1 (predicted)	NCBI
82950283	Signal sequence receptor, alpha	NCBI
94398442	PREDICTED: vacuolar protein sorting 13B isoform 5	NCBI
149045320	Prolactin-like protein F	NCBI
109458821	PREDICTED: similar to tubulin, gamma complex associated protein 5	NCBI
123211234	U5 small nuclear ribonucleoprotein	NCBI
109474252	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	NCBI
149050059	Protocadherin 17 (predicted)	NCBI
149047875	Low density lipoprotein-related protein 1B (deleted in tumors) (predicted)	NCBI
109483491	PREDICTED: similar to synaptotagmin-like homologue lacking C2 domains b	NCBI
31982099	Proteasome (prosome, macropain) subunit, beta type 6	NCBI
109484014	PREDICTED: hypothetical protein	NCBI
149046961	RCG58570, isoform CRA_a	NCBI
109464127	PREDICTED: similar to oocyte-testis gene 1	NCBI
149058516	Similar to eEF1A2 binding protein (predicted)	NCBI
62654329	PREDICTED: similar to NCK interacting protein with SH3 domain	NCBI
149042187	RCG36231, isoform CRA_c	NCBI
109484925	PREDICTED: similar to phosphatidylinositol glycan, class B	NCBI
149030856	Similar to centrosomal Nek2-associated protein 1 (predicted)	NCBI
149064744	RCG49995	NCBI
109510447	MCG7547, isoform CRA_c	NCBI
50510319	Chaperonin containing TCP-1 theta subunit	NCBI
34849707	Unc13a protein	NCBI
148682499	MCG126011	NCBI
62652278	Low density lipoprotein receptor-related protein 1	NCBI
149068911	P21 (CDKN1A)-activated kinase 1, isoform CRA_b	NCBI
109470874	PREDICTED: similar to TGF beta-inducible nuclear protein 1 (CDK105 protein)	NCBI
20839440	PREDICTED: hypothetical protein LOC70980	NCBI
112363661	DPPY splice variant d	NCBI
27709532	PREDICTED: similar to Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	NCBI
148702190	MCG21366	NCBI
37675525	AHNAK	NCBI
149257742	PREDICTED: antigen identified by monoclonal antibody Ki 67	NCBI
12845885	Serine hydroxymethyltransferase 1 (soluble)	NCBI
149253428	PREDICTED: hypothetical protein	NCBI
149060541	Golgi autoantigen, golgin subfamily b, macrogolgin 1, isoform CRA_c	NCBI
148708371	MCG14253, isoform CRA_c	NCBI
146149262	LIM domain only 7	NCBI
26379272	Unnamed protein product	NCBI
148697780	MCG140286, isoform CRA_a	NCBI
149253150	PREDICTED: perlecan (heparan sulfate proteoglycan 2)	NCBI
148672550	MCG142682	NCBI
74207846	CD14 antigen	NCBI
74211667	DnaK-type molecular chaperone hsp72-ps1	NCBI
148701020	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3, isoform CRA_d	NCBI
